label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-5.860,3.997,1.251,1.000,0.000,0.000,0.000,1.000,0.000,0.667,0.411,1.262,1
storage,0.109,5.354,0.642,1.000,0.000,0.000,0.000,1.000,0.000,1.894,1.772,0.633,1
chair,-4.226,5.775,0.488,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.177,0.271,0.393,2
other,-1.483,4.484,3.468,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.995,0.419,0.265,-1
storage,-3.611,6.761,0.492,1.000,0.000,0.000,0.000,1.000,0.000,0.904,0.324,0.494,1
table,-0.602,3.653,0.794,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.577,0.067,0.193,0
other,-1.237,4.804,3.526,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.332,0.160,0.239,-1
storage,-6.155,5.788,1.599,0.000,1.000,-0.000,-1.000,0.000,0.000,0.248,0.582,0.868,1
storage,-3.595,6.909,1.964,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.942,0.185,0.672,1
other,1.252,5.444,0.854,0.000,1.000,0.000,-1.000,0.000,0.000,0.582,0.349,0.117,-1
storage,-2.895,4.116,1.197,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.710,0.312,1.185,1
other,-0.020,4.122,3.864,1.000,0.000,0.000,0.000,1.000,0.000,0.203,0.054,0.076,-1
picture,-2.191,4.064,1.397,0.000,1.000,-0.000,-1.000,0.000,0.000,0.282,0.017,0.670,1
other,-3.290,5.130,3.502,1.000,0.000,0.000,0.000,1.000,0.000,0.294,0.201,0.336,-1
storage,-4.399,4.034,0.519,1.000,0.000,0.000,0.000,1.000,0.000,0.878,0.315,0.508,1
storage,-1.991,7.096,1.514,1.000,0.000,0.000,0.000,1.000,0.000,0.746,0.202,0.191,1
storage,0.118,6.937,1.877,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.375,0.213,0.660,1
table,-6.158,5.737,0.404,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.251,0.558,0.390,0
chair,-3.667,5.174,0.413,-0.383,0.924,-0.000,-0.924,-0.383,0.000,0.228,0.248,0.339,2
other,0.842,6.546,3.827,0.383,0.924,0.000,-0.924,0.383,0.000,0.170,0.081,0.069,-1
table,-3.896,5.454,0.383,1.000,0.000,0.000,0.000,1.000,0.000,0.694,0.465,0.362,0
chair,-6.015,5.554,0.396,0.707,0.707,-0.000,-0.707,0.707,0.000,0.198,0.172,0.335,2
storage,-2.864,4.057,1.265,1.000,0.000,0.000,0.000,1.000,0.000,0.720,0.358,1.248,1
other,1.071,6.568,3.351,1.000,0.000,0.000,0.000,1.000,0.000,0.172,0.083,0.067,-1
picture,-6.442,4.090,1.493,0.000,1.000,0.000,-1.000,0.000,0.000,0.201,0.039,0.191,1
other,-0.006,4.187,3.604,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.213,0.107,0.316,-1
chair,-3.552,5.593,0.340,-1.000,0.000,0.000,0.000,-1.000,0.000,0.244,0.328,0.265,2
table,-0.657,5.424,0.456,1.000,0.000,0.000,0.000,1.000,0.000,0.625,0.323,0.425,0
other,0.351,6.567,3.852,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.201,0.133,0.080,-1
other,-0.034,4.100,3.663,1.000,0.000,0.000,0.000,1.000,0.000,0.321,0.126,0.380,-1
other,-2.388,6.390,0.531,1.000,0.000,0.000,0.000,1.000,0.000,0.138,0.061,0.181,-1
chair,-4.159,5.171,0.387,0.924,0.383,-0.000,-0.383,0.924,0.000,0.197,0.164,0.267,2
storage,-0.102,6.498,3.687,1.000,0.000,0.000,0.000,1.000,0.000,0.844,0.298,0.546,1
other,1.084,6.622,3.620,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.164,0.138,0.037,-1
storage,-4.398,3.916,1.883,1.000,0.000,0.000,0.000,1.000,0.000,0.900,0.237,0.625,1
other,1.067,6.642,3.821,1.000,0.000,0.000,0.000,1.000,0.000,0.204,0.158,0.060,-1
