label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-4.602,-4.419,0.790,0.000,1.000,0.000,-1.000,0.000,0.000,0.245,0.233,0.144,-1
storage,-6.841,-2.668,1.641,-1.000,0.000,0.000,0.000,-1.000,0.000,0.171,0.313,0.721,1
storage,-4.440,-6.434,1.829,0.000,1.000,0.000,-1.000,0.000,0.000,0.761,0.269,0.562,1
storage,-5.066,-6.354,0.451,0.000,1.000,0.000,-1.000,0.000,0.000,0.962,0.269,0.457,1
storage,-4.681,-4.119,0.473,0.000,1.000,0.000,-1.000,0.000,0.000,1.761,0.414,0.474,1
storage,-6.691,-7.275,0.463,0.000,1.000,0.000,-1.000,0.000,0.000,0.688,0.112,0.465,1
storage,-6.664,-6.139,1.167,0.000,1.000,0.000,-1.000,0.000,0.000,0.734,0.133,1.087,1
storage,-6.603,-5.676,1.131,0.000,1.000,0.000,-1.000,0.000,0.000,0.978,0.040,1.141,1
chair,-5.444,-6.811,0.363,0.000,1.000,0.000,-1.000,0.000,0.000,0.334,0.296,0.378,2
other,-4.999,-6.325,0.572,0.383,0.924,0.000,-0.924,0.383,0.000,1.340,0.776,0.572,-1
storage,-6.545,-2.661,0.477,0.000,1.000,0.000,-1.000,0.000,0.000,0.307,0.166,0.466,1
other,-4.626,-5.037,0.785,0.000,1.000,0.000,-1.000,0.000,0.000,0.316,0.252,0.149,-1
storage,-5.121,-2.721,0.473,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.342,0.254,0.461,1
storage,-4.425,-3.133,1.808,0.000,1.000,0.000,-1.000,0.000,0.000,0.759,0.263,0.597,1
