label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-5.159,-15.950,0.451,1.000,0.000,0.000,0.000,1.000,0.000,0.315,0.286,0.438,-1
other,-6.291,-21.126,3.589,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.141,0.126,0.237,-1
storage,-5.145,-21.721,1.656,0.000,1.000,-0.000,-1.000,0.000,0.000,0.431,0.280,0.785,1
chair,-7.005,-17.676,0.607,0.000,1.000,0.000,-1.000,0.000,0.000,0.229,0.097,0.194,2
other,-5.170,-19.645,0.855,0.000,1.000,0.000,-1.000,0.000,0.000,2.503,0.318,0.086,-1
storage,-5.408,-16.574,0.443,0.000,1.000,0.000,-1.000,0.000,0.000,0.451,0.102,0.431,1
storage,-5.468,-19.647,0.438,0.000,1.000,0.000,-1.000,0.000,0.000,2.493,0.078,0.433,1
storage,-5.043,-21.084,1.881,0.000,1.000,-0.000,-1.000,0.000,0.000,0.223,0.183,0.564,1
storage,-5.037,-18.233,1.871,0.000,1.000,-0.000,-1.000,0.000,0.000,0.213,0.180,0.560,1
other,-7.032,-18.239,0.400,0.000,1.000,0.000,-1.000,0.000,0.000,1.860,0.089,0.387,-1
chair,-6.999,-16.840,0.623,0.000,1.000,0.000,-1.000,0.000,0.000,0.239,0.087,0.181,2
chair,-6.962,-18.668,0.608,0.000,1.000,0.000,-1.000,0.000,0.000,0.254,0.118,0.182,2
other,-6.261,-18.689,3.564,0.924,0.383,-0.000,-0.383,0.924,0.000,0.124,0.123,0.230,-1
picture,-6.252,-15.113,1.557,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.485,0.020,0.414,1
other,-5.199,-19.842,0.800,0.000,1.000,0.000,-1.000,0.000,0.000,0.205,0.203,0.068,-1
other,-5.168,-16.594,0.864,0.000,1.000,0.000,-1.000,0.000,0.000,0.421,0.329,0.089,-1
chair,-6.994,-19.685,0.624,0.000,1.000,0.000,-1.000,0.000,0.000,0.223,0.076,0.180,2
picture,-4.903,-19.633,1.938,0.000,1.000,0.000,-1.000,0.000,0.000,0.497,0.045,0.318,1
storage,-5.146,-17.595,1.657,0.000,1.000,-0.000,-1.000,0.000,0.000,0.453,0.287,0.784,1
other,-6.270,-16.296,3.545,1.000,0.000,0.000,0.000,1.000,0.000,0.186,0.172,0.245,-1
chair,-7.003,-19.153,0.609,0.000,1.000,0.000,-1.000,0.000,0.000,0.342,0.080,0.188,2
