label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-0.938,0.839,1.855,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.132,0.089,0.082,0
decor,-0.269,0.842,1.869,1.000,0.000,0.000,0.000,1.000,0.000,0.105,0.094,0.096,0
storage,0.172,-1.859,1.347,0.000,1.000,-0.000,-1.000,0.000,0.000,0.073,0.556,0.086,1
storage,-1.512,-1.148,1.077,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.572,0.327,1.086,1
storage,0.171,-1.943,1.837,0.000,1.000,-0.000,-1.000,0.000,0.000,0.184,0.556,0.122,1
decor,-0.557,0.839,2.269,1.000,0.000,0.000,0.000,1.000,0.000,0.135,0.092,0.120,0
decor,-1.088,0.816,2.254,1.000,0.000,0.000,0.000,1.000,0.000,0.160,0.117,0.124,0
picture,-0.181,-2.055,1.533,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.241,0.089,0.223,1
other,0.231,-1.741,0.385,0.000,1.000,0.000,-1.000,0.000,0.000,0.401,0.255,0.370,-1
decor,-0.218,-1.888,1.958,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.171,0.065,0.190,0
storage,-0.296,0.786,1.784,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.158,1.021,0.476,1
decor,0.580,0.689,1.014,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.178,0.153,0.115,0
decor,0.593,-2.040,1.460,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.085,0.067,0.103,0
storage,-1.634,0.774,1.753,1.000,0.000,0.000,0.000,1.000,0.000,0.429,0.173,0.465,1
decor,0.312,0.843,1.880,1.000,0.000,0.000,0.000,1.000,0.000,0.107,0.097,0.107,0
other,0.119,0.610,0.922,1.000,0.000,0.000,0.000,1.000,0.000,0.609,0.334,0.114,-1
other,-0.177,0.596,0.871,1.000,0.000,0.000,0.000,1.000,0.000,0.256,0.210,0.135,-1
