label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-0.213,0.154,1.645,0.000,1.000,-0.000,-1.000,0.000,0.000,0.197,0.144,0.237,0
picture,-0.284,-2.757,1.720,0.000,1.000,0.000,-1.000,0.000,0.000,0.254,0.031,0.229,1
chair,0.832,-1.320,0.583,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.259,0.322,0.339,2
picture,2.936,-2.464,1.593,0.000,1.000,-0.000,-1.000,0.000,0.000,0.473,0.026,0.497,1
picture,-0.295,-0.132,1.697,0.000,1.000,0.000,-1.000,0.000,0.000,0.285,0.040,0.227,1
chair,1.867,-1.701,0.585,-1.000,0.000,0.000,0.000,-1.000,0.000,0.313,0.339,0.211,2
storage,3.408,-0.375,1.203,-1.000,0.000,0.000,0.000,-1.000,0.000,0.475,1.076,1.230,1
picture,-0.317,-1.461,1.534,0.000,1.000,-0.000,-1.000,0.000,0.000,0.692,0.045,0.791,1
storage,-0.212,-0.083,0.805,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.161,0.514,0.696,1
storage,-0.196,-2.813,0.778,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.150,0.505,0.663,1
