label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,17.333,-2.274,1.626,0.707,0.707,-0.000,-0.707,0.707,0.000,0.087,0.058,0.356,0
other,17.024,-1.938,1.131,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.579,0.518,0.239,-1
other,16.733,-1.047,0.878,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.223,0.183,0.072,-1
decor,17.079,-1.857,1.116,1.000,0.000,0.000,0.000,1.000,0.000,0.141,0.103,0.154,0
picture,11.697,-1.709,1.713,0.000,1.000,0.000,-1.000,0.000,0.000,0.396,0.063,0.248,1
other,13.990,-1.922,0.413,1.000,0.000,0.000,0.000,1.000,0.000,1.015,0.437,0.379,-1
storage,14.582,0.018,0.550,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.227,0.303,0.537,1
other,11.732,-0.798,0.511,0.000,1.000,-0.000,-1.000,0.000,0.000,0.189,0.110,0.470,-1
sofa,12.832,1.322,0.360,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.425,1.264,0.351,2
other,17.203,-2.769,0.918,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.198,0.160,0.059,-1
decor,17.133,-1.936,1.520,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.197,0.154,0.558,0
other,11.695,-0.792,1.493,0.000,1.000,-0.000,-1.000,0.000,0.000,0.196,0.074,0.461,-1
picture,12.779,1.197,1.473,-1.000,0.000,0.000,-0.000,-1.000,0.000,14.137,5.426,4.740,1
