label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,3.820,1.318,0.909,0.000,1.000,-0.000,-1.000,0.000,0.000,0.200,0.187,0.251,1
decor,2.670,1.336,0.331,0.924,0.383,-0.000,-0.383,0.924,0.000,0.131,0.108,0.355,0
other,5.299,0.746,0.831,0.000,1.000,0.000,-1.000,0.000,0.000,0.599,0.232,0.112,-1
picture,2.654,-0.887,1.643,0.000,1.000,-0.000,-1.000,0.000,0.000,0.385,0.043,0.565,1
storage,5.315,0.738,0.439,0.000,1.000,0.000,-1.000,0.000,0.000,0.625,0.209,0.464,1
other,5.317,-0.525,0.677,0.000,1.000,-0.000,-1.000,0.000,0.000,0.362,0.158,0.376,-1
other,3.131,-1.568,0.498,0.000,1.000,0.000,-1.000,0.000,0.000,0.403,0.230,0.363,-1
picture,5.441,-0.438,1.700,0.000,1.000,-0.000,-1.000,0.000,0.000,0.526,0.044,0.582,1
other,4.512,-1.579,1.217,1.000,0.000,0.000,0.000,1.000,0.000,0.996,0.635,1.196,-1
storage,3.953,1.266,0.361,1.000,0.000,0.000,0.000,1.000,0.000,0.394,0.267,0.387,1
other,4.933,1.450,0.699,1.000,0.000,0.000,0.000,1.000,0.000,0.111,0.068,0.186,-1
