label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,7.584,4.060,1.048,0.000,1.000,0.000,-1.000,0.000,0.000,1.086,0.337,0.253,-1
decor,7.525,4.117,1.260,0.000,1.000,-0.000,-1.000,0.000,0.000,0.271,0.264,0.379,0
other,7.547,3.336,0.815,0.000,1.000,0.000,-1.000,0.000,0.000,0.227,0.177,0.083,-1
picture,9.421,2.976,1.754,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.365,0.024,0.322,1
picture,7.748,4.152,1.803,0.000,1.000,0.000,-1.000,0.000,0.000,0.989,0.106,0.851,1
other,9.438,4.051,0.615,0.000,1.000,0.000,-1.000,0.000,0.000,1.102,0.649,0.624,-1
storage,7.571,4.065,0.433,0.000,1.000,0.000,-1.000,0.000,0.000,1.081,0.303,0.444,1
other,7.217,4.171,1.069,0.000,1.000,0.000,-1.000,0.000,0.000,0.143,0.046,0.087,-1
other,9.462,3.031,1.150,1.000,0.000,0.000,0.000,1.000,0.000,0.345,0.080,0.242,-1
other,7.552,4.759,0.819,0.000,1.000,0.000,-1.000,0.000,0.000,0.230,0.179,0.081,-1
