label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,5.244,-7.738,0.461,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.244,0.747,0.506,1
decor,5.562,-7.422,0.992,0.707,0.707,-0.000,-0.707,0.707,0.000,0.082,0.076,0.110,0
table,7.445,-11.416,0.259,0.000,1.000,0.000,-1.000,0.000,0.000,0.452,0.266,0.361,0
tv,5.182,-7.592,1.484,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.080,0.388,0.257,2
picture,4.991,-10.125,1.436,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.886,0.027,0.540,1
sofa,7.893,-7.815,0.378,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.525,0.545,0.446,2
decor,5.632,-7.206,1.136,0.707,0.707,-0.000,-0.707,0.707,0.000,0.075,0.075,0.255,0
bed,6.795,-9.180,0.692,-0.707,0.707,0.000,-0.707,-0.707,0.000,1.119,0.819,0.773,2
other,7.787,-7.727,2.175,0.000,1.000,0.000,-1.000,0.000,0.000,0.511,0.504,0.319,-1
table,5.134,-9.519,3.049,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.577,0.420,0.252,0
storage,7.491,-11.912,1.057,0.000,1.000,-0.000,-1.000,0.000,0.000,0.439,0.392,1.157,1
