label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-9.723,13.542,1.015,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.191,0.051,0.070,1
other,-10.445,12.788,3.150,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.182,0.119,0.030,-1
picture,-11.105,10.098,0.963,1.000,0.000,0.000,0.000,1.000,0.000,0.259,0.019,0.493,1
storage,-9.278,10.805,2.638,-1.000,0.000,0.000,0.000,-1.000,0.000,0.208,0.568,0.535,1
storage,-10.777,10.397,1.775,0.000,1.000,0.000,-1.000,0.000,0.000,0.168,0.472,0.510,1
storage,-11.002,13.561,1.054,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.053,0.267,0.093,1
storage,-10.114,13.666,1.604,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.214,0.730,0.555,1
storage,-11.364,12.898,1.608,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.247,0.572,1.572,1
picture,-11.743,13.133,1.618,0.000,1.000,0.000,-1.000,0.000,0.000,0.626,0.007,0.457,1
storage,-9.285,12.791,2.632,-1.000,0.000,0.000,0.000,-1.000,0.000,0.197,0.635,0.557,1
storage,-11.405,10.684,2.377,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.199,0.456,0.800,1
storage,-9.356,11.892,1.088,-1.000,0.000,0.000,0.000,-1.000,0.000,0.281,0.682,1.072,1
other,-10.357,11.170,3.152,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.169,0.099,0.031,-1
