label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-12.862,11.637,2.370,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.467,0.361,0.455,0
chair,-13.758,10.956,0.573,0.000,1.000,0.000,-1.000,0.000,0.000,0.276,0.379,0.593,2
decor,-10.008,13.270,1.469,0.000,1.000,0.000,-1.000,0.000,0.000,0.427,0.030,0.235,0
chair,-12.390,12.295,0.575,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.369,0.393,0.592,2
chair,-14.689,11.673,0.571,1.000,0.000,0.000,0.000,1.000,0.000,0.383,0.366,0.580,2
storage,-14.463,13.652,1.273,1.000,0.000,0.000,0.000,1.000,0.000,1.287,0.322,1.309,1
chair,-12.418,10.925,0.571,0.000,1.000,0.000,-1.000,0.000,0.000,0.264,0.307,0.592,2
decor,-15.460,13.043,0.906,1.000,0.000,0.000,0.000,1.000,0.000,0.346,0.295,0.944,0
decor,-15.425,10.261,0.910,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.328,0.303,0.947,0
storage,-13.733,11.522,1.219,-0.383,0.924,0.000,-0.924,-0.383,0.000,2.791,1.019,1.266,1
chair,-13.149,10.956,0.571,0.000,1.000,0.000,-1.000,0.000,0.000,0.274,0.311,0.593,2
table,-12.721,11.688,0.583,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.771,0.646,0.253,0
chair,-13.904,12.431,0.572,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.306,0.311,0.595,2
chair,-10.956,11.662,0.571,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.473,0.374,0.590,2
decor,-10.018,10.010,1.982,0.000,1.000,0.000,-1.000,0.000,0.000,0.161,0.033,0.156,0
decor,-10.004,13.264,1.930,0.000,1.000,-0.000,-1.000,0.000,0.000,0.092,0.038,0.102,0
chair,-12.928,11.692,0.571,1.000,0.000,0.000,0.000,1.000,0.000,2.135,0.958,0.593,2
chair,-13.189,12.309,0.572,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.387,0.444,0.596,2
