label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-7.640,-18.182,0.830,0.000,1.000,0.000,-1.000,0.000,0.000,1.869,0.672,0.838,0
chair,-8.263,-17.886,0.616,0.000,1.000,0.000,-1.000,0.000,0.000,0.202,0.066,0.180,2
chair,-8.074,-17.901,0.477,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.214,0.292,0.283,2
chair,-8.100,-19.226,0.327,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.213,0.274,0.312,2
other,-7.648,-18.180,2.946,0.707,0.707,-0.000,-0.707,0.707,0.000,0.125,0.123,0.232,-1
chair,-7.265,-19.621,0.483,-1.000,0.000,0.000,0.000,-1.000,0.000,0.268,0.343,0.233,2
chair,-7.122,-18.662,0.469,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.107,0.250,0.065,2
storage,-7.066,-15.691,0.909,0.000,1.000,-0.000,-1.000,0.000,0.000,0.434,0.053,0.895,1
chair,-7.053,-19.189,0.568,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.073,0.363,0.173,2
chair,-8.267,-16.871,0.645,0.000,1.000,0.000,-1.000,0.000,0.000,0.177,0.054,0.176,2
chair,-7.778,-19.070,0.359,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.324,0.934,0.356,2
chair,-8.083,-16.803,0.488,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.206,0.334,0.267,2
chair,-8.115,-18.534,0.363,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.177,0.293,0.304,2
storage,-7.172,-15.726,1.006,0.000,1.000,-0.000,-1.000,0.000,0.000,0.526,0.159,1.005,1
other,-7.629,-17.291,3.250,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.147,0.135,0.522,-1
other,-7.623,-19.113,3.067,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.130,0.127,0.353,-1
picture,-7.639,-16.379,1.549,1.000,0.000,0.000,0.000,1.000,0.000,0.486,0.028,0.429,1
chair,-7.121,-17.942,0.539,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.106,0.528,0.134,2
