label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-21.026,-4.124,0.522,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.282,0.479,0.511,2
tv,-24.493,0.040,2.151,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.059,0.812,0.524,2
table,-22.559,0.320,1.027,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.152,0.821,1.038,0
table,-20.353,-0.740,0.315,1.000,0.000,0.000,0.000,1.000,0.000,0.343,0.292,0.329,0
decor,-24.166,2.623,1.536,1.000,0.000,0.000,0.000,1.000,0.000,0.494,0.337,1.549,0
chair,-20.936,-5.207,0.525,0.383,0.924,-0.000,-0.924,0.383,0.000,0.321,0.337,0.510,2
chair,-20.318,-4.032,0.516,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.374,0.281,0.419,2
chair,-20.226,-5.190,0.480,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.384,0.316,0.469,2
other,-24.637,0.021,0.838,0.000,1.000,0.000,-1.000,0.000,0.000,0.874,0.504,0.852,-1
sofa,-20.368,-0.168,0.735,-1.000,0.000,0.000,0.000,-1.000,0.000,0.206,0.346,0.257,2
decor,-24.406,-5.531,1.458,0.000,1.000,-0.000,-1.000,0.000,0.000,0.618,0.581,1.443,0
storage,-24.997,-1.774,0.485,0.000,1.000,0.000,-1.000,0.000,0.000,0.618,0.320,0.494,1
chair,-20.063,-4.588,0.515,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.474,0.308,0.505,2
picture,-26.416,-2.684,1.431,1.000,0.000,0.000,0.000,1.000,0.000,0.333,0.028,0.362,1
table,-23.613,2.565,0.668,1.000,0.000,0.000,0.000,1.000,0.000,0.454,0.396,0.682,0
other,-22.291,0.466,0.069,0.000,1.000,0.000,-1.000,0.000,0.000,2.444,1.483,0.082,-1
decor,-23.559,2.669,1.095,0.000,1.000,-0.000,-1.000,0.000,0.000,0.285,0.260,0.492,0
storage,-25.053,1.870,1.617,0.000,1.000,-0.000,-1.000,0.000,0.000,0.667,0.316,0.728,1
picture,-18.561,-4.492,0.889,0.000,1.000,0.000,-1.000,0.000,0.000,0.175,0.062,0.146,1
storage,-24.393,-3.429,1.295,0.924,0.383,-0.000,-0.383,0.924,0.000,0.577,2.438,1.072,1
table,-20.620,-4.638,0.428,0.924,0.383,0.000,-0.383,0.924,0.000,0.787,0.785,0.400,0
sofa,-21.399,1.343,0.762,-0.924,-0.383,0.000,0.383,-0.924,0.000,1.442,2.323,0.772,2
decor,-20.474,2.328,0.728,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.309,0.256,0.741,0
decor,-20.811,2.602,0.602,1.000,0.000,0.000,0.000,1.000,0.000,0.464,0.353,0.616,0
picture,-27.294,-3.774,1.658,0.000,1.000,0.000,-1.000,0.000,0.000,0.688,0.030,0.504,1
chair,-21.191,-4.617,0.480,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.506,0.313,0.473,2
storage,-25.046,1.874,0.480,0.000,1.000,0.000,-1.000,0.000,0.000,0.634,0.308,0.494,1
