label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.947,11.396,0.788,0.707,0.707,0.000,-0.707,0.707,0.000,0.359,0.233,0.162,-1
storage,-0.282,9.325,4.001,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.252,0.517,0.459,1
storage,-3.459,10.262,2.184,0.000,1.000,-0.000,-1.000,0.000,0.000,0.414,0.170,0.775,1
storage,-3.199,8.841,2.115,0.000,1.000,0.000,-1.000,0.000,0.000,1.017,0.442,0.830,1
chair,0.117,8.448,0.358,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.201,0.292,0.354,2
storage,-3.029,7.568,1.995,0.000,1.000,-0.000,-1.000,0.000,0.000,0.469,0.066,1.031,1
other,0.524,11.104,3.925,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.663,0.345,0.485,-1
other,-1.003,8.410,3.864,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.386,0.341,0.438,-1
storage,-1.203,11.920,2.164,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.049,0.174,0.778,1
chair,0.120,10.132,0.350,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.216,0.266,0.342,2
storage,-1.787,10.666,4.015,0.000,1.000,0.000,-1.000,0.000,0.000,0.764,0.082,0.591,1
storage,-1.121,7.538,3.855,0.000,1.000,0.000,-1.000,0.000,0.000,0.573,0.094,0.445,1
