label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,3.696,-2.270,0.532,1.000,0.000,0.000,0.000,1.000,0.000,0.230,0.087,0.079,2
storage,3.761,-1.621,1.700,0.000,1.000,-0.000,-1.000,0.000,0.000,0.401,0.166,0.453,1
other,3.345,-0.658,0.914,0.000,1.000,0.000,-1.000,0.000,0.000,1.687,0.586,0.113,-1
storage,2.668,0.726,1.953,1.000,0.000,0.000,0.000,1.000,0.000,0.379,0.013,0.149,1
storage,3.463,0.859,1.677,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.419,0.168,0.432,1
other,3.593,-0.567,0.943,0.000,1.000,0.000,-1.000,0.000,0.000,0.405,0.321,0.187,-1
other,1.179,-1.370,0.911,0.000,1.000,0.000,-1.000,0.000,0.000,0.800,0.325,0.086,-1
storage,2.057,0.867,1.670,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.293,0.169,0.432,1
storage,1.328,0.457,0.857,1.000,0.000,0.000,0.000,1.000,0.000,0.407,0.236,0.867,1
chair,3.171,-2.268,0.481,1.000,0.000,0.000,0.000,1.000,0.000,0.263,0.089,0.125,2
other,2.154,0.712,0.912,1.000,0.000,0.000,0.000,1.000,0.000,0.405,0.326,0.086,-1
storage,3.354,-1.899,0.418,1.000,0.000,0.000,0.000,1.000,0.000,0.579,0.364,0.436,1
storage,1.008,-1.339,1.754,0.000,1.000,0.000,-1.000,0.000,0.000,0.777,0.167,0.540,1
storage,3.729,0.496,1.748,0.000,1.000,0.000,-1.000,0.000,0.000,0.510,0.175,0.504,1
storage,2.012,0.499,0.429,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.298,0.101,0.425,1
storage,1.188,-1.401,0.434,0.000,1.000,0.000,-1.000,0.000,0.000,0.829,0.326,0.446,1
storage,3.244,-0.533,0.416,0.000,1.000,0.000,-1.000,0.000,0.000,1.021,0.136,0.435,1
