label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,1.852,3.251,-2.888,1.000,0.000,0.000,0.000,1.000,0.000,0.272,0.195,0.327,2
decor,-1.200,0.750,-1.473,0.000,1.000,0.000,-1.000,0.000,0.000,0.406,0.075,0.163,0
storage,0.136,4.410,-1.720,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.778,0.252,1.515,1
other,-0.427,4.523,-3.058,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.249,0.134,0.173,-1
table,-0.573,-0.563,0.627,1.000,0.000,0.000,0.000,1.000,0.000,0.248,0.235,0.456,0
storage,0.288,0.621,-2.554,0.000,1.000,0.000,-1.000,0.000,0.000,1.757,1.579,0.688,1
table,-0.603,1.900,0.663,0.000,1.000,-0.000,-1.000,0.000,0.000,0.238,0.202,0.504,0
storage,-1.109,0.605,-1.258,0.000,1.000,0.000,-1.000,0.000,0.000,1.692,0.188,0.642,1
other,-1.152,0.271,-1.562,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.123,0.082,0.402,-1
sofa,1.457,3.126,0.827,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.565,0.977,0.637,2
chair,-0.491,3.298,0.477,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.416,0.273,0.310,2
picture,-0.441,4.646,-1.538,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.159,0.015,0.174,1
chair,1.352,3.226,-2.895,1.000,0.000,0.000,0.000,1.000,0.000,0.286,0.191,0.321,2
picture,1.116,4.618,-1.535,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.138,0.006,0.157,1
decor,-1.114,2.023,0.448,1.000,0.000,0.000,0.000,1.000,0.000,0.200,0.181,0.304,0
storage,-1.719,4.315,-2.555,0.000,1.000,-0.000,-1.000,0.000,0.000,0.348,0.189,0.670,1
picture,2.422,4.235,-1.388,0.000,1.000,-0.000,-1.000,0.000,0.000,0.372,0.030,0.553,1
storage,1.923,1.034,-2.126,0.000,1.000,-0.000,-1.000,0.000,0.000,0.506,0.482,1.088,1
chair,2.163,3.244,-2.857,1.000,0.000,0.000,0.000,1.000,0.000,0.256,0.200,0.351,2
decor,1.145,4.504,-3.191,1.000,0.000,0.000,0.000,1.000,0.000,0.164,0.129,0.036,0
table,2.133,2.186,0.486,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.255,0.228,0.273,0
storage,1.028,-0.909,-1.249,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.834,0.225,0.659,1
chair,1.014,3.251,-2.893,1.000,0.000,0.000,0.000,1.000,0.000,0.238,0.205,0.333,2
