label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,7.007,-3.524,1.012,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.122,0.114,0.080,1
sofa,9.813,-3.007,0.550,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.480,0.443,0.537,2
decor,7.282,-3.639,1.245,1.000,0.000,0.000,0.000,1.000,0.000,0.217,0.086,0.318,0
storage,10.561,-2.800,0.367,-1.000,0.000,0.000,0.000,-1.000,0.000,0.141,0.742,0.358,1
decor,8.848,-4.452,0.583,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.096,0.090,0.171,0
table,7.269,-6.626,0.380,1.000,0.000,0.000,0.000,1.000,0.000,0.448,0.435,0.355,0
storage,10.796,-6.961,1.325,0.000,1.000,-0.000,-1.000,0.000,0.000,0.780,0.384,1.330,1
other,10.012,-3.429,0.700,1.000,0.000,0.000,0.000,1.000,0.000,0.321,0.152,0.693,-1
decor,9.852,-4.633,1.517,0.000,1.000,-0.000,-1.000,0.000,0.000,0.080,0.069,0.208,0
other,9.970,-6.607,0.671,1.000,0.000,0.000,0.000,1.000,0.000,0.241,0.151,0.676,-1
table,7.219,-3.593,0.515,1.000,0.000,0.000,0.000,1.000,0.000,0.414,0.360,0.457,0
other,10.287,-4.809,1.630,0.000,1.000,-0.000,-1.000,0.000,0.000,0.906,0.591,1.618,-1
sofa,9.717,-6.990,0.528,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.468,0.420,0.532,2
picture,7.392,-3.410,0.982,0.707,0.707,0.000,-0.707,0.707,0.000,0.076,0.057,0.049,1
decor,9.856,-4.323,1.562,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.091,0.086,0.228,0
decor,7.160,-6.369,1.241,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.266,0.256,0.611,0
sofa,10.873,-7.728,0.330,1.000,0.000,0.000,0.000,1.000,0.000,0.192,0.092,0.329,2
sofa,7.413,-5.052,0.534,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.598,1.229,0.492,2
chair,6.923,-7.119,0.315,0.000,1.000,-0.000,-1.000,0.000,0.000,0.188,0.118,0.269,2
decor,9.806,-5.434,1.551,0.000,1.000,-0.000,-1.000,0.000,0.000,0.093,0.084,0.228,0
decor,9.881,-5.131,1.564,0.000,1.000,-0.000,-1.000,0.000,0.000,0.126,0.090,0.243,0
table,9.304,-7.479,0.332,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.186,0.181,0.340,0
table,8.677,-5.059,0.264,0.000,1.000,0.000,-1.000,0.000,0.000,0.830,0.408,0.232,0
