label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,2.179,2.574,3.457,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.602,0.508,0.555,2
other,2.123,0.167,3.680,0.000,1.000,0.000,-1.000,0.000,0.000,0.608,0.250,0.179,-1
decor,0.588,5.058,0.864,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.232,0.195,0.328,0
other,1.905,0.165,3.489,0.000,1.000,0.000,-1.000,0.000,0.000,0.607,0.265,0.173,-1
sofa,2.228,3.465,3.453,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.600,0.561,0.568,2
sofa,1.476,0.895,0.530,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.651,0.530,0.556,2
sofa,1.374,4.779,0.513,-0.000,-1.000,-0.000,1.000,-0.000,0.000,0.627,0.509,0.563,2
other,-0.105,2.805,0.703,0.000,1.000,0.000,-1.000,0.000,0.000,0.968,0.551,0.769,-1
other,1.248,0.168,3.033,0.000,1.000,0.000,-1.000,0.000,0.000,0.606,0.073,0.105,-1
other,1.364,0.171,3.020,0.000,1.000,0.000,-1.000,0.000,0.000,0.606,0.213,0.127,-1
other,1.486,0.131,3.179,0.000,1.000,0.000,-1.000,0.000,0.000,0.573,0.077,0.104,-1
other,1.654,0.169,3.283,0.000,1.000,0.000,-1.000,0.000,0.000,0.610,0.255,0.188,-1
other,-0.083,2.779,3.793,0.000,1.000,0.000,-1.000,0.000,0.000,0.987,0.534,0.919,-1
tv,-0.122,2.634,1.655,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.118,0.599,0.350,2
