label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,7.446,-9.835,-1.764,1.000,0.000,0.000,0.000,1.000,0.000,0.395,0.256,1.413,0
sofa,6.590,-14.945,-2.580,0.383,0.924,-0.000,-0.924,0.383,0.000,0.606,1.146,0.602,2
chair,5.650,-13.209,-2.641,1.000,0.000,0.000,0.000,1.000,0.000,0.361,0.358,0.524,2
table,4.376,-12.561,-2.525,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.294,0.715,0.651,0
chair,8.287,-15.359,-2.601,0.000,1.000,-0.000,-1.000,0.000,0.000,0.408,0.375,0.557,2
picture,4.160,-12.580,-0.842,0.000,1.000,-0.000,-1.000,0.000,0.000,0.687,0.085,1.733,1
other,10.740,-9.572,-2.549,1.000,0.000,0.000,0.000,1.000,0.000,1.080,0.175,0.617,-1
decor,9.475,-9.721,-1.788,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.302,0.302,1.383,0
chair,9.212,-15.380,-2.608,0.000,1.000,0.000,-1.000,0.000,0.000,0.413,0.452,0.560,2
chair,11.186,-12.957,-2.627,-1.000,0.000,0.000,0.000,-1.000,0.000,0.348,0.410,0.530,2
sofa,11.218,-13.728,-2.613,-1.000,0.000,0.000,0.000,-1.000,0.000,0.401,0.581,0.563,2
chair,11.167,-12.274,-2.613,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.347,0.293,0.500,2
picture,10.841,-9.417,-0.933,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.820,0.032,1.044,1
chair,5.692,-14.039,-2.613,0.924,0.383,-0.000,-0.383,0.924,0.000,0.431,0.549,0.562,2
table,8.505,-13.219,-2.688,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.868,0.866,0.414,0
sofa,10.571,-14.867,-2.576,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.533,1.142,0.598,2
other,6.174,-9.654,-2.546,1.000,0.000,0.000,0.000,1.000,0.000,1.032,0.108,0.641,-1
chair,5.634,-12.640,-2.634,1.000,0.000,0.000,0.000,1.000,0.000,0.345,0.328,0.521,2
decor,8.490,-14.616,-2.940,0.383,0.924,-0.000,-0.924,0.383,0.000,0.122,0.106,0.231,0
