label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,18.399,2.197,0.610,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.076,0.214,0.095,2
table,17.827,2.253,0.286,0.000,1.000,0.000,-1.000,0.000,0.000,1.000,0.604,0.431,0
chair,18.384,2.884,0.617,-1.000,0.000,0.000,0.000,-1.000,0.000,0.078,0.267,0.108,2
chair,17.799,1.267,0.283,0.383,0.924,-0.000,-0.924,0.383,0.000,0.443,0.371,0.445,2
decor,17.816,1.929,0.736,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.148,0.132,0.168,0
decor,17.842,2.383,0.999,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.128,0.108,0.177,0
chair,17.338,2.714,0.339,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.162,0.063,0.389,2
chair,18.422,1.760,0.624,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.066,0.273,0.095,2
chair,17.235,2.363,0.692,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.043,0.255,0.033,2
chair,17.348,1.685,0.336,0.924,0.383,-0.000,-0.383,0.924,0.000,0.173,0.354,0.394,2
decor,17.793,2.816,0.723,0.707,0.707,-0.000,-0.707,0.707,0.000,0.165,0.139,0.190,0
chair,17.848,3.764,0.548,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.279,0.099,0.174,2
