label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-1.433,-1.707,3.666,0.000,1.000,-0.000,-1.000,0.000,0.000,0.213,0.187,0.218,0
decor,-1.372,-5.017,3.681,1.000,0.000,0.000,0.000,1.000,0.000,0.203,0.193,0.236,0
table,-0.185,-2.965,3.658,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.233,0.208,0.156,0
decor,0.899,-6.747,3.898,0.000,1.000,-0.000,-1.000,0.000,0.000,0.158,0.134,0.185,0
decor,-1.241,-8.409,3.605,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.125,0.066,0.143,0
decor,-1.388,-6.629,3.620,1.000,0.000,0.000,0.000,1.000,0.000,0.180,0.156,0.194,0
decor,0.815,-1.650,3.713,1.000,0.000,0.000,0.000,1.000,0.000,0.211,0.181,0.286,0
sofa,0.919,-8.076,3.837,0.000,1.000,0.000,-1.000,0.000,0.000,0.433,1.153,0.410,2
chair,-0.396,-6.723,3.828,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.418,0.431,0.387,2
chair,2.243,-6.791,3.784,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.441,0.463,0.374,2
table,0.882,-6.779,3.608,1.000,0.000,0.000,0.000,1.000,0.000,0.662,0.357,0.181,0
