label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,14.771,-13.106,0.531,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.707,0.685,0.366,0
table,13.236,-14.758,0.419,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.272,0.257,0.273,0
table,12.225,-11.610,0.580,1.000,0.000,0.000,0.000,1.000,0.000,0.512,0.501,0.398,0
picture,16.373,-11.522,3.345,0.000,1.000,-0.000,-1.000,0.000,0.000,0.390,0.050,0.439,1
bed,9.222,-8.942,1.668,-0.000,-1.000,0.000,1.000,-0.000,0.000,1.138,1.000,1.483,2
storage,14.501,-8.044,1.241,1.000,0.000,0.000,0.000,1.000,0.000,1.047,0.295,1.077,1
other,15.995,-8.228,0.644,0.000,1.000,-0.000,-1.000,0.000,0.000,0.400,0.294,0.476,-1
table,14.383,-9.751,0.545,0.383,0.924,0.000,-0.924,0.383,0.000,0.574,0.551,0.361,0
table,14.680,-14.846,0.719,1.000,0.000,0.000,0.000,1.000,0.000,0.372,0.206,0.569,0
sofa,12.323,-13.895,0.540,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.584,0.963,0.376,2
picture,16.037,-11.548,1.166,0.000,1.000,-0.000,-1.000,0.000,0.000,0.600,0.316,1.024,1
decor,15.900,-8.387,1.643,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.283,0.179,0.606,0
chair,15.591,-10.415,0.654,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.544,0.432,0.428,2
decor,13.257,-14.751,0.829,1.000,0.000,0.000,0.000,1.000,0.000,0.163,0.118,0.213,0
picture,10.447,-14.537,1.097,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.500,0.178,0.383,1
