label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-6.552,0.282,4.364,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.427,0.041,0.415,1
bed,-7.237,-1.967,3.218,1.000,0.000,0.000,0.000,1.000,0.000,1.174,0.929,0.362,2
other,-5.485,-4.335,3.328,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.406,0.303,0.084,-1
storage,-3.486,-1.418,3.180,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.293,0.248,0.319,1
storage,-3.200,-2.674,3.941,0.000,1.000,0.000,-1.000,0.000,0.000,1.457,0.054,1.067,1
storage,-6.483,-0.097,3.399,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.309,1.034,0.537,1
table,-8.178,-0.816,3.339,0.000,1.000,-0.000,-1.000,0.000,0.000,0.379,0.269,0.446,0
decor,-8.245,-0.754,4.155,1.000,0.000,0.000,0.000,1.000,0.000,0.168,0.161,0.174,0
other,-5.428,-4.117,3.106,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.453,0.085,0.243,-1
decor,-5.755,-0.046,4.308,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.154,0.147,0.122,0
