label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,18.691,7.757,0.752,0.000,1.000,-0.000,-1.000,0.000,0.000,0.120,0.109,0.162,0
bed,17.440,6.785,0.401,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.085,1.031,0.401,2
picture,17.044,7.932,1.675,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.376,0.026,0.243,1
picture,18.492,3.719,1.586,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.408,0.020,0.417,1
table,18.543,7.643,0.534,1.000,0.000,0.000,0.000,1.000,0.000,0.326,0.304,0.209,0
picture,15.711,5.466,1.556,0.000,1.000,-0.000,-1.000,0.000,0.000,0.302,0.036,0.532,1
sofa,18.614,4.164,0.422,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.442,0.530,0.398,2
decor,16.689,7.582,1.061,1.000,0.000,0.000,0.000,1.000,0.000,0.125,0.116,0.115,0
picture,15.807,3.613,1.189,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.924,0.111,1.175,1
decor,16.136,7.696,0.891,1.000,0.000,0.000,0.000,1.000,0.000,0.235,0.160,0.288,0
picture,17.852,7.928,1.700,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.370,0.029,0.230,1
picture,16.272,7.543,0.681,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.138,0.074,0.092,1
table,16.326,7.645,0.463,1.000,0.000,0.000,0.000,1.000,0.000,0.329,0.302,0.457,0
