label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-7.517,0.265,0.589,0.000,1.000,0.000,-1.000,0.000,0.000,0.333,0.337,0.273,2
chair,-5.269,1.720,0.622,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.318,0.320,0.248,2
table,-6.263,1.034,0.744,1.000,0.000,0.000,0.000,1.000,0.000,1.608,0.652,0.203,0
chair,-6.753,0.289,0.592,0.000,1.000,0.000,-1.000,0.000,0.000,0.308,0.350,0.268,2
other,-5.572,-0.941,0.393,1.000,0.000,0.000,0.000,1.000,0.000,2.790,0.522,0.401,-1
chair,-6.696,1.778,0.709,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.226,0.343,0.145,2
chair,-7.404,1.679,0.586,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.330,0.322,0.262,2
decor,-6.689,1.078,1.224,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.193,0.088,0.195,0
decor,-5.842,0.981,1.072,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.188,0.126,0.255,0
chair,-5.430,0.294,0.592,0.000,1.000,0.000,-1.000,0.000,0.000,0.326,0.372,0.279,2
chair,-5.907,1.707,0.404,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.308,0.385,0.451,2
chair,-6.044,0.302,0.589,0.000,1.000,0.000,-1.000,0.000,0.000,0.312,0.334,0.264,2
decor,-3.628,3.324,1.692,0.000,1.000,-0.000,-1.000,0.000,0.000,0.570,0.450,0.642,0
