label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-8.776,3.717,0.426,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.538,0.525,0.441,0
table,-8.559,-1.339,0.496,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.771,0.276,0.506,0
picture,-6.359,3.186,1.551,0.000,1.000,0.000,-1.000,0.000,0.000,0.237,0.031,0.205,1
decor,-8.015,-1.416,1.241,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.265,0.157,0.120,0
other,-10.811,0.062,3.185,1.000,0.000,0.000,0.000,1.000,0.000,1.793,1.315,0.062,-1
table,-10.471,-0.017,3.428,1.000,0.000,0.000,0.000,1.000,0.000,0.640,0.409,0.287,0
other,-9.733,4.155,1.575,0.383,0.924,0.000,-0.924,0.383,0.000,2.269,1.143,1.421,-1
sofa,-8.909,-0.256,3.519,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.635,0.481,0.377,2
table,-9.130,-1.372,3.688,1.000,0.000,0.000,0.000,1.000,0.000,0.374,0.322,0.156,0
picture,-8.528,-1.617,1.593,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.576,0.118,0.651,1
table,-11.824,-1.320,3.518,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.519,0.365,0.378,0
picture,-6.371,-1.181,1.552,0.000,1.000,0.000,-1.000,0.000,0.000,0.344,0.073,0.243,1
sofa,-10.475,-1.079,3.584,0.000,1.000,-0.000,-1.000,0.000,0.000,0.393,1.016,0.433,2
picture,-11.690,-1.596,1.618,1.000,0.000,0.000,0.000,1.000,0.000,0.224,0.025,0.227,1
decor,-10.758,0.015,3.738,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.188,0.082,0.155,0
storage,-9.718,3.072,3.608,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.863,0.258,0.470,1
