label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-23.659,3.322,-2.736,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.564,1.204,0.435,2
decor,-21.880,0.361,-2.199,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.373,0.253,0.951,0
chair,-26.807,3.576,-2.585,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.181,0.167,0.548,2
chair,-26.929,1.735,-2.601,0.707,0.707,-0.000,-0.707,0.707,0.000,0.380,0.350,0.512,2
chair,-27.174,2.110,-2.378,1.000,0.000,0.000,0.000,1.000,0.000,0.241,0.204,0.290,2
decor,-20.419,-0.393,0.905,1.000,0.000,0.000,0.000,1.000,0.000,0.421,0.391,0.239,0
picture,-20.407,4.554,-1.317,1.000,0.000,0.000,0.000,1.000,0.000,0.397,0.031,0.396,1
decor,-24.308,2.472,0.786,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.313,0.214,0.192,0
table,-24.235,2.551,0.456,0.000,1.000,0.000,-1.000,0.000,0.000,0.708,0.329,0.178,0
sofa,-20.848,3.295,-2.698,-1.000,0.000,0.000,0.000,-1.000,0.000,0.572,1.210,0.437,2
chair,-25.654,2.108,-2.588,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.345,0.308,0.546,2
storage,-19.059,3.558,-1.698,0.000,1.000,-0.000,-1.000,0.000,0.000,1.056,0.507,1.481,1
chair,-26.332,1.812,-2.594,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.365,0.339,0.539,2
decor,-21.102,-0.066,0.827,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.502,0.395,0.327,0
table,-22.131,3.306,-2.853,0.000,1.000,0.000,-1.000,0.000,0.000,0.916,0.455,0.281,0
chair,-25.703,2.884,-2.629,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.352,0.272,0.525,2
chair,-26.203,3.269,-2.601,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.319,0.275,0.554,2
tv,-22.437,4.485,-1.500,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.081,0.639,0.436,2
chair,-27.265,2.851,-2.237,0.000,1.000,0.000,-1.000,0.000,0.000,0.193,0.072,0.139,2
picture,-24.891,4.525,-1.348,1.000,0.000,0.000,0.000,1.000,0.000,0.619,0.046,0.669,1
table,-26.448,2.418,-2.358,0.000,1.000,0.000,-1.000,0.000,0.000,0.835,0.807,0.098,0
picture,-26.474,4.524,-1.343,1.000,0.000,0.000,0.000,1.000,0.000,0.639,0.057,0.614,1
