label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-15.369,-3.880,0.449,1.000,0.000,0.000,0.000,1.000,0.000,1.988,0.058,0.464,1
other,-15.546,0.025,0.839,0.000,1.000,0.000,-1.000,0.000,0.000,0.377,0.282,0.225,-1
storage,-12.801,-1.805,0.463,0.000,1.000,0.000,-1.000,0.000,0.000,1.058,0.337,0.475,1
other,-15.470,0.255,0.789,1.000,0.000,0.000,0.000,1.000,0.000,0.227,0.188,0.113,-1
sofa,-13.304,2.110,3.712,1.000,0.000,0.000,0.000,1.000,0.000,0.686,0.656,0.267,2
storage,-12.918,-1.406,1.754,0.000,1.000,0.000,-1.000,0.000,0.000,0.662,0.188,0.534,1
other,-11.058,-2.793,0.865,0.000,1.000,0.000,-1.000,0.000,0.000,1.074,0.315,0.043,-1
storage,-16.696,2.913,1.271,1.000,0.000,0.000,0.000,1.000,0.000,1.139,0.067,1.302,1
other,-11.690,-4.304,0.778,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.247,0.152,0.130,-1
storage,-14.092,-4.265,1.931,1.000,0.000,0.000,0.000,1.000,0.000,0.733,0.231,0.706,1
storage,-12.754,-4.309,1.746,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.377,0.186,0.525,1
storage,-16.990,-4.258,1.961,1.000,0.000,0.000,0.000,1.000,0.000,0.371,0.237,0.677,1
storage,-13.935,2.277,1.266,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.669,0.325,1.302,1
other,-13.723,-0.020,0.896,0.000,1.000,0.000,-1.000,0.000,0.000,1.818,0.345,0.031,-1
other,-12.211,0.878,3.575,1.000,0.000,0.000,0.000,1.000,0.000,0.156,0.114,0.128,-1
storage,-13.769,-2.236,1.305,0.000,1.000,-0.000,-1.000,0.000,0.000,0.483,0.387,1.320,1
storage,-17.723,-4.131,1.274,1.000,0.000,0.000,0.000,1.000,0.000,0.429,0.329,1.286,1
chair,-18.816,-0.031,0.588,1.000,0.000,0.000,0.000,1.000,0.000,0.412,0.290,0.599,2
storage,-11.409,-0.754,3.903,0.000,1.000,0.000,-1.000,0.000,0.000,1.339,0.079,0.445,1
storage,-11.111,-4.305,1.743,1.000,0.000,0.000,0.000,1.000,0.000,0.367,0.188,0.545,1
storage,-11.060,-2.789,1.196,0.000,1.000,-0.000,-1.000,0.000,0.000,1.098,0.334,1.193,1
decor,-13.844,-2.393,1.508,0.000,1.000,-0.000,-1.000,0.000,0.000,0.110,0.107,0.141,0
other,-12.182,-4.202,0.802,0.000,1.000,0.000,-1.000,0.000,0.000,0.189,0.182,0.106,-1
chair,-18.812,0.778,0.585,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.313,0.267,0.599,2
storage,-13.786,-2.273,1.561,0.000,1.000,0.000,-1.000,0.000,0.000,0.244,0.224,0.219,1
other,-14.065,-0.040,0.433,0.000,1.000,0.000,-1.000,0.000,0.000,1.803,0.077,0.462,-1
decor,-13.859,-2.123,1.554,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.145,0.058,0.191,0
storage,-13.748,0.025,1.759,0.000,1.000,0.000,-1.000,0.000,0.000,1.151,0.366,0.863,1
other,-15.363,-4.162,0.849,1.000,0.000,0.000,0.000,1.000,0.000,1.995,0.312,0.163,-1
chair,-18.727,-0.932,0.609,0.000,1.000,-0.000,-1.000,0.000,0.000,0.371,0.332,0.582,2
storage,-12.852,-2.414,1.598,0.000,1.000,-0.000,-1.000,0.000,0.000,0.409,0.281,0.689,1
other,-12.779,-1.879,2.462,0.000,1.000,0.000,-1.000,0.000,0.000,1.130,0.361,0.217,-1
other,-11.943,-4.179,0.927,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.183,0.316,0.252,-1
other,-12.792,-1.783,0.969,0.000,1.000,0.000,-1.000,0.000,0.000,1.037,0.296,0.071,-1
storage,-13.568,-1.434,1.860,0.000,1.000,-0.000,-1.000,0.000,0.000,0.419,0.190,0.660,1
other,-15.730,-4.168,0.806,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.424,0.302,0.143,-1
storage,-11.929,-4.189,1.964,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.473,0.033,0.327,1
storage,-13.668,1.456,1.901,0.000,1.000,-0.000,-1.000,0.000,0.000,0.344,0.098,0.659,1
storage,-12.021,-3.894,0.457,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.082,0.047,0.452,1
