label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,14.365,3.631,0.454,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.138,0.030,0.438,0
table,15.542,2.185,3.133,1.000,0.000,0.000,0.000,1.000,0.000,0.329,0.268,0.395,0
storage,15.723,2.903,1.764,-1.000,0.000,0.000,0.000,-1.000,0.000,0.112,0.442,0.223,1
table,14.875,2.941,3.272,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.613,0.330,0.511,0
bed,14.371,1.365,3.098,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.070,0.876,0.356,2
storage,15.622,-0.195,1.947,0.000,1.000,0.000,-1.000,0.000,0.000,1.015,0.206,0.472,1
chair,14.947,3.547,0.607,1.000,0.000,0.000,0.000,1.000,0.000,0.208,0.145,0.038,2
chair,15.452,3.529,0.586,1.000,0.000,0.000,0.000,1.000,0.000,0.260,0.172,0.059,2
storage,15.043,1.220,0.427,0.000,1.000,0.000,-1.000,0.000,0.000,2.431,0.760,0.457,1
other,15.450,1.614,0.761,0.000,1.000,0.000,-1.000,0.000,0.000,0.384,0.200,0.125,-1
chair,14.833,3.274,3.194,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.322,0.435,0.431,2
other,15.065,1.204,0.876,0.000,1.000,0.000,-1.000,0.000,0.000,2.414,0.758,0.050,-1
storage,13.497,0.145,0.861,0.000,1.000,-0.000,-1.000,0.000,0.000,0.540,0.089,0.876,1
decor,15.575,3.151,0.998,0.924,0.383,-0.000,-0.383,0.924,0.000,0.093,0.052,0.115,0
