label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-14.178,-15.384,0.443,0.707,0.707,-0.000,-0.707,0.707,0.000,0.428,0.186,0.546,1
storage,-12.556,-9.273,-0.012,-1.000,0.000,0.000,0.000,-1.000,0.000,0.160,0.295,1.199,1
storage,-15.355,-9.833,0.209,0.707,0.707,-0.000,-0.707,0.707,0.000,0.671,0.225,0.844,1
storage,-12.985,-13.580,-0.908,0.707,0.707,0.000,-0.707,0.707,0.000,0.448,0.020,0.407,1
other,-13.834,-11.662,0.761,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.184,0.162,0.208,-1
storage,-10.280,-9.923,0.485,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.582,0.045,0.565,1
other,-16.441,-10.986,-0.620,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.323,0.243,0.120,-1
storage,-16.682,-16.794,0.305,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.667,0.197,0.707,1
storage,-12.676,-13.884,0.415,0.707,0.707,-0.000,-0.707,0.707,0.000,0.454,0.180,0.618,1
chair,-15.914,-12.937,-1.029,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.274,0.265,0.349,2
other,-16.855,-11.457,-0.895,0.707,0.707,0.000,-0.707,0.707,0.000,0.493,0.292,0.462,-1
storage,-10.287,-9.908,-0.845,0.707,-0.707,0.000,0.707,0.707,-0.000,0.293,0.572,0.205,1
storage,-17.382,-15.774,0.411,0.000,1.000,0.000,-1.000,0.000,0.000,0.880,0.174,0.584,1
other,-13.556,-14.486,-0.504,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.498,0.357,0.040,-1
other,-16.082,-13.107,-0.772,0.000,1.000,0.000,-1.000,0.000,0.000,3.842,1.448,0.602,-1
chair,-15.594,-13.576,-0.861,0.707,0.707,-0.000,-0.707,0.707,0.000,0.330,0.277,0.512,2
storage,-11.798,-10.275,-0.236,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.937,0.175,1.122,1
storage,-14.448,-15.050,-0.930,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.452,0.026,0.426,1
