label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-10.258,-15.627,0.404,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.399,0.387,0.396,2
chair,-10.852,-19.007,0.224,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.288,0.276,0.234,2
chair,-9.110,-17.222,0.398,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.378,0.382,0.400,2
chair,-10.302,-17.003,0.394,0.707,0.707,0.000,-0.707,0.707,0.000,0.414,0.372,0.394,2
chair,-9.665,-19.035,0.220,0.707,0.707,0.000,-0.707,0.707,0.000,0.285,0.281,0.233,2
picture,-9.413,-15.140,1.838,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.522,0.047,0.319,1
chair,-8.306,-18.648,0.577,0.000,1.000,0.000,-1.000,0.000,0.000,0.343,0.096,0.216,2
chair,-8.897,-15.886,0.400,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.420,0.380,0.389,2
table,-10.308,-19.074,0.352,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.255,0.244,0.256,0
other,-9.329,-16.266,3.575,0.707,0.707,-0.000,-0.707,0.707,0.000,0.181,0.172,0.249,-1
table,-9.708,-16.395,0.227,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.287,0.238,0.221,0
chair,-8.289,-19.630,0.586,0.000,1.000,0.000,-1.000,0.000,0.000,0.241,0.081,0.212,2
chair,-8.306,-19.260,0.411,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.091,0.392,2
storage,-10.322,-19.990,0.730,0.000,1.000,-0.000,-1.000,0.000,0.000,0.252,1.169,0.735,1
