label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,7.602,13.809,3.706,0.000,1.000,0.000,-1.000,0.000,0.000,0.947,0.043,0.103,1
chair,14.407,15.808,0.521,0.707,0.707,-0.000,-0.707,0.707,0.000,0.307,0.327,0.397,2
table,7.845,11.815,0.448,0.000,1.000,0.000,-1.000,0.000,0.000,0.614,0.237,0.410,0
picture,8.967,10.505,2.824,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.715,0.080,0.985,1
decor,15.748,11.895,1.991,0.924,0.383,-0.000,-0.383,0.924,0.000,0.169,0.113,0.328,0
chair,9.909,16.601,0.511,-1.000,0.000,0.000,0.000,-1.000,0.000,0.343,0.364,0.463,2
other,15.815,14.816,2.121,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.198,0.145,0.201,-1
table,9.609,11.922,0.441,1.000,0.000,0.000,0.000,1.000,0.000,0.212,0.203,0.407,0
chair,10.360,11.624,0.520,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.281,0.259,0.470,2
picture,16.177,16.637,2.802,0.000,1.000,-0.000,-1.000,0.000,0.000,0.760,0.093,0.924,1
other,15.837,12.708,2.081,0.924,0.383,-0.000,-0.383,0.924,0.000,0.186,0.156,0.228,-1
chair,9.371,15.902,0.514,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.389,0.322,0.483,2
chair,14.530,17.195,0.473,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.321,0.251,0.405,2
decor,8.012,10.909,0.473,1.000,0.000,0.000,0.000,1.000,0.000,0.288,0.266,0.426,0
picture,16.143,11.452,2.704,0.000,1.000,-0.000,-1.000,0.000,0.000,0.732,0.145,0.849,1
other,12.982,10.837,2.101,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.241,0.152,0.174,-1
other,7.918,12.650,2.000,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.236,0.221,0.366,-1
picture,14.849,10.495,2.776,1.000,0.000,0.000,0.000,1.000,0.000,0.759,0.083,1.042,1
sofa,8.051,16.464,0.507,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.439,1.260,0.478,2
chair,8.822,11.726,0.511,0.707,0.707,-0.000,-0.707,0.707,0.000,0.286,0.264,0.476,2
other,7.907,14.849,2.089,0.924,0.383,0.000,-0.383,0.924,0.000,0.258,0.159,0.249,-1
picture,16.222,13.732,3.970,0.000,1.000,0.000,-1.000,0.000,0.000,0.976,0.044,0.364,1
other,15.350,11.308,1.295,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.044,0.336,1.273,-1
sofa,9.617,10.953,0.523,0.000,1.000,0.000,-1.000,0.000,0.000,0.469,0.992,0.474,2
sofa,15.749,16.507,0.495,-1.000,0.000,0.000,0.000,-1.000,0.000,0.444,0.890,0.458,2
other,10.792,10.892,2.092,0.924,0.383,-0.000,-0.383,0.924,0.000,0.171,0.170,0.195,-1
decor,14.807,10.925,1.967,0.924,0.383,-0.000,-0.383,0.924,0.000,0.175,0.099,0.346,0
decor,10.420,17.768,0.557,1.000,0.000,0.000,0.000,1.000,0.000,0.192,0.130,0.470,0
chair,9.340,17.179,0.574,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.323,0.344,0.470,2
decor,13.477,17.800,0.524,0.000,1.000,-0.000,-1.000,0.000,0.000,0.290,0.264,0.489,0
picture,7.636,16.606,2.799,0.000,1.000,-0.000,-1.000,0.000,0.000,0.713,0.109,0.882,1
picture,11.986,10.528,3.907,1.000,0.000,0.000,0.000,1.000,0.000,1.068,0.076,0.380,1
picture,7.620,11.514,2.648,0.000,1.000,-0.000,-1.000,0.000,0.000,0.717,0.141,0.847,1
table,12.025,16.296,0.446,1.000,0.000,0.000,0.000,1.000,0.000,0.705,0.581,0.413,0
table,9.229,16.428,0.440,1.000,0.000,0.000,0.000,1.000,0.000,0.406,0.296,0.405,0
