label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,8.128,-16.501,-1.202,1.000,0.000,0.000,0.000,1.000,0.000,0.615,0.025,0.626,0
table,3.368,-18.163,0.498,1.000,0.000,0.000,0.000,1.000,0.000,0.433,0.295,0.478,0
table,5.599,-18.240,-2.349,1.000,0.000,0.000,0.000,1.000,0.000,0.274,0.254,0.551,0
chair,9.123,-17.594,0.451,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.187,0.322,0.375,2
other,11.113,-17.249,-2.573,0.000,1.000,0.000,-1.000,0.000,0.000,0.893,0.500,0.325,-1
table,5.998,-16.263,0.624,1.000,0.000,0.000,0.000,1.000,0.000,0.790,0.404,0.577,0
chair,7.227,-17.474,0.450,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.252,0.366,0.374,2
table,8.127,-17.597,0.464,0.000,1.000,0.000,-1.000,0.000,0.000,1.085,1.017,0.397,0
other,8.128,-16.753,-2.444,1.000,0.000,0.000,0.000,1.000,0.000,0.373,0.144,0.457,-1
picture,11.705,-17.074,-1.334,0.000,1.000,-0.000,-1.000,0.000,0.000,0.455,0.073,0.465,1
