label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-4.594,20.518,-0.378,0.000,1.000,0.000,-1.000,0.000,0.000,0.616,0.112,0.038,-1
picture,-3.206,20.492,2.547,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.245,0.024,0.234,1
picture,-5.258,20.508,1.630,1.000,0.000,0.000,0.000,1.000,0.000,0.091,0.013,0.105,1
picture,0.183,25.156,1.584,0.000,1.000,0.000,-1.000,0.000,0.000,0.341,0.016,0.307,1
sofa,-3.350,23.471,0.320,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.685,0.292,0.279,2
picture,0.168,24.160,1.687,0.000,1.000,-0.000,-1.000,0.000,0.000,0.373,0.020,0.399,1
picture,-1.165,20.476,1.721,1.000,0.000,0.000,0.000,1.000,0.000,0.354,0.020,0.394,1
picture,-0.722,25.849,1.565,1.000,0.000,0.000,0.000,1.000,0.000,0.408,0.021,0.379,1
picture,-5.597,24.134,1.666,0.000,1.000,0.000,-1.000,0.000,0.000,0.279,0.011,0.218,1
other,-2.148,20.549,-0.381,0.000,1.000,0.000,-1.000,0.000,0.000,0.645,0.163,0.054,-1
storage,-5.327,24.844,1.166,0.000,1.000,-0.000,-1.000,0.000,0.000,0.445,0.283,1.125,1
picture,-1.981,25.823,1.466,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.646,0.033,0.621,1
storage,-5.406,25.634,0.762,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.202,0.252,0.653,1
picture,0.177,23.200,1.611,0.000,1.000,0.000,-1.000,0.000,0.000,0.342,0.014,0.291,1
picture,-4.765,25.844,1.414,1.000,0.000,0.000,0.000,1.000,0.000,0.275,0.020,0.335,1
