label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-1.249,5.423,0.476,0.383,0.924,-0.000,-0.924,0.383,0.000,0.257,0.189,0.436,0
decor,-1.969,2.972,0.497,0.383,0.924,-0.000,-0.924,0.383,0.000,0.227,0.200,0.424,0
table,3.134,5.094,0.026,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.236,0.224,0.312,0
table,-1.909,2.998,-0.248,0.383,0.924,0.000,-0.924,0.383,0.000,0.415,0.264,0.355,0
bed,-0.548,4.027,-0.031,0.924,-0.383,-0.000,0.383,0.924,-0.000,1.310,1.053,0.565,2
sofa,3.599,3.356,-0.360,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.769,0.446,0.391,2
table,3.798,2.646,-0.550,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.290,0.277,0.200,0
storage,3.002,1.671,-0.401,0.000,1.000,-0.000,-1.000,0.000,0.000,0.142,0.772,0.359,1
table,-1.126,5.525,-0.161,0.383,0.924,0.000,-0.924,0.383,0.000,0.459,0.233,0.425,0
other,-1.203,4.663,1.642,0.707,0.707,0.000,-0.707,0.707,0.000,0.038,0.035,0.004,-1
