label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,0.453,3.542,3.667,0.000,1.000,0.000,-1.000,0.000,0.000,1.211,0.380,0.452,0
picture,2.283,9.085,4.613,1.000,0.000,0.000,0.000,1.000,0.000,0.225,0.021,0.279,1
picture,1.759,9.088,4.648,1.000,0.000,0.000,0.000,1.000,0.000,0.337,0.021,0.330,1
chair,1.810,6.224,3.555,-1.000,0.000,0.000,0.000,-1.000,0.000,0.388,0.527,0.340,2
chair,1.763,7.946,3.564,-1.000,0.000,0.000,0.000,-1.000,0.000,0.403,0.526,0.347,2
bed,3.043,7.950,3.637,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.094,0.678,0.406,2
sofa,3.658,3.552,3.661,-1.000,0.000,0.000,0.000,-1.000,0.000,0.618,1.203,0.444,2
chair,0.747,3.097,3.672,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.394,0.208,0.456,2
other,1.644,7.015,5.575,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.348,0.312,0.250,-1
decor,0.223,4.601,4.258,0.000,1.000,-0.000,-1.000,0.000,0.000,0.160,0.144,0.320,0
chair,0.569,3.873,3.666,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.425,0.341,0.461,2
storage,-0.931,7.036,3.718,0.000,1.000,0.000,-1.000,0.000,0.000,0.533,0.222,0.501,1
chair,2.177,2.926,3.454,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.383,0.376,0.228,2
decor,0.346,2.628,4.310,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.106,0.098,0.268,0
tv,-1.119,7.006,4.789,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.044,0.614,0.398,2
picture,1.206,9.103,4.624,1.000,0.000,0.000,0.000,1.000,0.000,0.282,0.037,0.330,1
bed,3.081,6.177,3.667,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.070,0.698,0.295,2
picture,0.302,4.941,4.753,1.000,0.000,0.000,0.000,1.000,0.000,0.182,0.019,0.202,1
table,1.078,6.173,3.678,0.000,1.000,0.000,-1.000,0.000,0.000,0.292,0.282,0.012,0
table,0.885,7.794,3.657,0.000,1.000,0.000,-1.000,0.000,0.000,0.304,0.280,0.046,0
table,3.985,7.046,3.644,0.000,1.000,0.000,-1.000,0.000,0.000,0.391,0.269,0.381,0
