label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-16.675,-20.694,-0.848,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.430,0.369,0.584,2
other,-14.759,-20.243,-0.441,0.000,1.000,0.000,-1.000,0.000,0.000,1.285,0.392,0.994,-1
picture,-16.272,-23.120,1.034,1.000,0.000,0.000,0.000,1.000,0.000,0.742,0.047,0.629,1
chair,-18.385,-19.900,-0.850,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.199,0.317,0.581,2
chair,-16.819,-19.913,-0.847,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.554,0.380,0.583,2
decor,-17.376,-19.900,-0.377,0.707,0.707,-0.000,-0.707,0.707,0.000,0.129,0.127,0.297,0
table,-17.389,-19.894,-0.972,0.000,1.000,0.000,-1.000,0.000,0.000,1.554,0.682,0.460,0
decor,-19.482,-18.799,-0.781,0.383,0.924,-0.000,-0.924,0.383,0.000,0.292,0.267,0.684,0
decor,-19.490,-21.327,-0.784,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.260,0.255,0.684,0
picture,-19.334,-17.686,0.280,0.000,1.000,-0.000,-1.000,0.000,0.000,0.350,0.033,0.420,1
chair,-16.706,-19.092,-0.852,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.449,0.366,0.582,2
chair,-18.291,-20.677,-0.854,1.000,0.000,0.000,0.000,1.000,0.000,0.353,0.346,0.587,2
chair,-17.390,-18.149,-0.857,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.407,0.358,0.582,2
decor,-17.356,-19.928,0.009,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.310,0.234,0.295,0
chair,-17.455,-21.509,-0.864,0.000,1.000,-0.000,-1.000,0.000,0.000,0.422,0.395,0.577,2
chair,-18.184,-19.112,-0.857,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.386,0.341,0.580,2
picture,-19.346,-22.565,0.341,0.000,1.000,0.000,-1.000,0.000,0.000,0.372,0.030,0.309,1
