label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-1.042,-6.950,0.485,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.333,0.441,0.449,2
table,-0.119,-7.843,0.411,1.000,0.000,0.000,0.000,1.000,0.000,1.545,0.683,0.395,0
sofa,-4.002,-6.558,0.474,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.445,0.695,0.445,2
chair,1.348,-7.640,0.476,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.304,0.458,0.461,2
chair,-0.170,-6.959,0.484,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.317,0.451,0.465,2
chair,-0.988,-8.496,0.476,0.000,1.000,0.000,-1.000,0.000,0.000,0.291,0.347,0.455,2
chair,0.572,-7.018,0.479,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.377,0.371,0.458,2
chair,-0.120,-8.467,0.492,0.000,1.000,0.000,-1.000,0.000,0.000,0.282,0.381,0.455,2
chair,0.537,-8.383,0.492,0.000,1.000,0.000,-1.000,0.000,0.000,0.359,0.526,0.457,2
other,3.336,-6.634,0.713,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.235,0.198,0.197,-1
chair,-1.365,-7.838,0.500,1.000,0.000,0.000,0.000,1.000,0.000,0.603,0.347,0.472,2
