label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,15.132,-7.018,3.930,0.000,1.000,-0.000,-1.000,0.000,0.000,0.229,0.195,0.438,0
picture,8.727,-9.721,5.339,0.000,1.000,-0.000,-1.000,0.000,0.000,0.410,0.065,0.575,1
table,13.436,-9.231,3.707,0.000,1.000,0.000,-1.000,0.000,0.000,0.609,0.520,0.242,0
tv,13.231,-6.541,5.201,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.105,0.671,0.425,2
picture,8.718,-11.707,5.361,0.000,1.000,-0.000,-1.000,0.000,0.000,0.384,0.053,0.567,1
decor,13.419,-9.236,4.129,0.000,1.000,-0.000,-1.000,0.000,0.000,0.236,0.209,0.260,0
decor,9.944,-11.783,4.673,0.707,0.707,-0.000,-0.707,0.707,0.000,0.172,0.134,0.176,0
storage,13.239,-6.720,4.004,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.755,0.275,0.524,1
decor,15.223,-12.367,4.658,1.000,0.000,0.000,0.000,1.000,0.000,0.419,0.376,0.922,0
picture,15.646,-9.723,5.348,0.000,1.000,-0.000,-1.000,0.000,0.000,0.529,0.030,0.561,1
picture,13.532,-12.922,5.351,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.527,0.034,0.542,1
decor,13.575,-11.509,4.361,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.216,0.189,0.149,0
chair,11.173,-11.306,4.093,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.311,0.278,0.521,2
sofa,14.060,-9.654,3.935,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.599,1.574,0.475,2
decor,8.867,-10.930,4.148,1.000,0.000,0.000,0.000,1.000,0.000,0.180,0.174,0.672,0
chair,10.337,-11.353,4.052,0.924,0.383,-0.000,-0.383,0.924,0.000,0.282,0.429,0.576,2
table,14.184,-11.384,3.878,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.751,0.295,0.400,0
table,10.771,-11.826,4.163,1.000,0.000,0.000,0.000,1.000,0.000,1.014,0.513,0.688,0
