label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-8.936,7.607,1.702,0.924,0.383,0.000,-0.383,0.924,0.000,0.145,0.139,0.074,-1
chair,-11.223,7.004,0.106,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.243,0.412,0.415,2
decor,-12.501,6.390,-0.054,0.383,0.924,0.000,-0.924,0.383,0.000,0.189,0.119,0.197,0
other,-8.586,6.424,1.698,0.000,1.000,0.000,-1.000,0.000,0.000,0.143,0.137,0.091,-1
chair,-10.746,6.347,0.101,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.260,0.295,0.412,2
table,-10.890,6.747,0.095,0.707,0.707,0.000,-0.707,0.707,0.000,0.700,0.475,0.406,0
chair,-11.004,7.161,0.098,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.264,0.254,0.409,2
other,-7.522,6.523,0.482,0.000,1.000,0.000,-1.000,0.000,0.000,1.243,0.425,0.169,-1
chair,-10.556,7.143,0.093,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.347,0.360,0.405,2
decor,-11.088,6.986,0.617,0.924,-0.383,-0.000,0.383,0.924,0.000,0.127,0.113,0.180,0
chair,-11.304,6.407,0.094,0.707,0.707,-0.000,-0.707,0.707,0.000,0.322,0.266,0.412,2
other,-7.593,5.635,0.477,0.707,0.707,0.000,-0.707,0.707,0.000,0.242,0.232,0.105,-1
storage,-7.362,7.163,0.759,0.000,1.000,0.000,-1.000,0.000,0.000,1.888,0.592,1.094,1
chair,-10.448,6.578,0.094,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.252,0.273,0.405,2
