label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-5.787,15.821,0.538,0.000,1.000,0.000,-1.000,0.000,0.000,0.628,0.074,0.312,-1
storage,-3.235,17.898,0.487,1.000,0.000,0.000,0.000,1.000,0.000,0.532,0.333,0.510,1
storage,-1.090,14.053,1.096,0.000,1.000,-0.000,-1.000,0.000,0.000,0.939,0.341,1.099,1
other,-4.758,15.350,0.765,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.549,0.237,0.178,-1
storage,-7.197,14.469,0.528,0.000,1.000,0.000,-1.000,0.000,0.000,1.361,0.467,0.564,1
other,-2.148,15.617,-0.523,0.000,1.000,0.000,-1.000,0.000,0.000,0.597,0.127,0.038,-1
other,-4.173,13.360,0.837,1.000,0.000,0.000,0.000,1.000,0.000,1.604,0.705,0.144,-1
chair,-2.998,12.558,0.530,0.000,1.000,0.000,-1.000,0.000,0.000,0.294,0.327,0.536,2
other,-2.838,18.121,1.011,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.104,0.057,0.080,-1
other,-1.261,13.151,0.964,1.000,0.000,0.000,0.000,1.000,0.000,0.149,0.028,0.098,-1
other,-3.610,13.829,0.790,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.341,0.241,0.170,-1
other,-4.998,17.922,0.498,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.601,0.317,0.532,-1
other,-4.148,15.787,0.471,1.000,0.000,0.000,0.000,1.000,0.000,1.666,0.699,0.493,-1
other,-4.493,15.629,-0.516,0.000,1.000,0.000,-1.000,0.000,0.000,0.585,0.099,0.032,-1
storage,-4.173,13.517,0.421,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.668,0.534,0.446,1
other,-2.571,15.307,0.620,0.000,1.000,-0.000,-1.000,0.000,0.000,0.107,0.051,0.230,-1
chair,-3.956,12.688,0.516,0.383,0.924,-0.000,-0.924,0.383,0.000,0.390,0.495,0.544,2
storage,-1.100,14.701,1.384,0.000,1.000,0.000,-1.000,0.000,0.000,1.573,0.376,1.414,1
storage,-4.221,15.810,0.450,1.000,0.000,0.000,0.000,1.000,0.000,1.634,0.678,0.486,1
other,-2.549,15.858,0.620,0.000,1.000,0.000,-1.000,0.000,0.000,0.468,0.070,0.229,-1
picture,-7.701,13.661,1.432,0.000,1.000,-0.000,-1.000,0.000,0.000,0.222,0.015,0.272,1
decor,-5.217,13.298,1.523,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.418,0.381,0.576,0
other,-2.551,15.669,0.638,0.000,1.000,-0.000,-1.000,0.000,0.000,0.179,0.040,0.182,-1
chair,-5.332,12.556,0.527,0.000,1.000,0.000,-1.000,0.000,0.000,0.296,0.313,0.545,2
other,-7.394,15.598,-0.449,0.000,1.000,0.000,-1.000,0.000,0.000,0.687,0.163,0.040,-1
chair,-4.445,12.559,0.514,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.451,0.416,0.543,2
