label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-10.892,1.566,0.468,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.636,1.282,0.461,2
decor,-10.520,3.245,0.960,1.000,0.000,0.000,0.000,1.000,0.000,0.140,0.138,0.221,0
decor,-9.317,1.024,0.665,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.300,0.212,0.221,0
decor,-12.388,-0.876,1.354,0.707,0.707,-0.000,-0.707,0.707,0.000,0.211,0.103,0.386,0
picture,-12.004,-0.911,1.341,1.000,0.000,0.000,0.000,1.000,0.000,0.282,0.087,0.404,1
table,-10.758,3.122,0.647,1.000,0.000,0.000,0.000,1.000,0.000,0.589,0.587,0.156,0
table,-11.685,-0.656,0.579,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.972,0.327,0.565,0
table,-9.112,1.204,0.261,0.000,1.000,0.000,-1.000,0.000,0.000,0.659,0.656,0.230,0
decor,-8.824,1.478,0.495,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.204,0.181,0.050,0
other,-9.036,1.453,0.035,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.574,1.226,0.034,-1
decor,-10.942,2.842,0.857,0.383,0.924,-0.000,-0.924,0.383,0.000,0.106,0.075,0.113,0
sofa,-12.583,1.184,0.280,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.335,0.692,0.212,2
sofa,-12.578,2.374,0.280,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.343,0.646,0.282,2
table,-6.947,-0.696,1.144,0.383,0.924,-0.000,-0.924,0.383,0.000,0.124,0.120,0.177,0
table,-5.843,-0.521,1.084,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.081,0.037,0.131,0
other,-9.072,-0.587,0.815,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.356,0.412,0.806,-1
decor,-11.121,3.040,0.870,0.000,1.000,0.000,-1.000,0.000,0.000,0.125,0.106,0.096,0
decor,-12.418,-0.506,1.056,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.043,0.025,0.088,0
picture,-6.569,-0.884,1.594,1.000,0.000,0.000,0.000,1.000,0.000,0.829,0.113,0.627,1
table,-6.493,-0.630,0.608,1.000,0.000,0.000,0.000,1.000,0.000,0.956,0.353,0.607,0
sofa,-7.096,2.354,0.424,-0.707,-0.707,-0.000,0.707,-0.707,0.000,1.017,0.603,0.425,2
decor,-10.951,-0.624,1.012,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.063,0.063,0.044,0
decor,-11.213,-0.750,1.044,0.707,0.707,0.000,-0.707,0.707,0.000,0.105,0.077,0.076,0
decor,-11.066,-0.808,1.516,1.000,0.000,0.000,0.000,1.000,0.000,0.091,0.089,0.548,0
sofa,-9.102,3.131,0.446,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.662,1.252,0.449,2
decor,-10.325,3.201,0.765,0.707,0.707,0.000,-0.707,0.707,0.000,0.091,0.087,0.027,0
decor,-10.569,2.855,0.897,0.383,0.924,0.000,-0.924,0.383,0.000,0.203,0.144,0.156,0
