label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-16.562,-7.055,0.300,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.471,0.261,0.468,2
sofa,-18.237,-9.216,0.268,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.485,0.422,0.471,2
chair,-27.329,-6.869,0.453,0.383,0.924,0.000,-0.924,0.383,0.000,0.428,0.324,0.459,2
chair,-31.015,-6.777,0.431,-1.000,0.000,0.000,0.000,-1.000,0.000,0.302,0.285,0.469,2
chair,-32.738,-5.961,0.453,1.000,0.000,-0.000,0.000,1.000,0.000,0.255,0.102,0.462,2
chair,-25.914,-6.849,0.316,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.315,0.289,0.216,2
table,-32.126,-6.526,0.492,-1.000,0.000,0.000,0.000,-1.000,0.000,1.081,0.468,0.431,0
chair,-32.125,-6.050,0.452,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.168,0.257,0.458,2
sofa,-20.773,-7.771,0.286,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.621,1.085,0.396,2
other,-26.740,-5.428,0.683,0.707,0.707,-0.000,-0.707,0.707,0.000,0.662,0.606,0.732,-1
table,-26.586,-6.963,0.352,0.000,1.000,0.000,-1.000,0.000,0.000,0.225,0.224,0.036,0
table,-20.047,-8.578,0.030,0.707,-0.707,0.000,0.707,0.707,0.000,0.530,0.521,0.223,0
chair,-31.610,-6.246,0.443,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.302,0.297,0.450,2
